Date(UTC),UnixTimeStamp,Price,Transaction Count,Transaction Date,
5/9/2016,1462752000,9.32,38560,2016-05-09 00:00:14 UTC,
5/10/2016,1462838400,9.39,40684,2016-05-10 00:00:05 UTC,
5/11/2016,1462924800,9.97,40811,2016-05-11 00:00:19 UTC,
5/12/2016,1463011200,10.1,45002,2016-05-12 00:00:02 UTC,
5/13/2016,1463097600,10.48,47739,2016-05-13 00:00:02 UTC,
5/14/2016,1463184000,10.14,45745,2016-05-14 00:00:17 UTC,
5/15/2016,1463270400,9.94,43073,2016-05-15 00:00:05 UTC,
5/16/2016,1463356800,11.04,37424,2016-05-16 00:00:06 UTC,
5/17/2016,1463443200,12.26,40309,2016-05-17 00:00:03 UTC,
5/18/2016,1463529600,13.29,46033,2016-05-18 00:00:19 UTC,
5/19/2016,1463616000,14.49,44523,2016-05-19 00:00:01 UTC,
5/20/2016,1463702400,13.73,45182,2016-05-20 00:00:02 UTC,
5/21/2016,1463788800,13.95,43616,2016-05-21 00:00:18 UTC,
5/22/2016,1463875200,14.21,38895,2016-05-22 00:00:21 UTC,
5/23/2016,1463961600,13.45,43806,2016-05-23 00:00:02 UTC,
5/24/2016,1464048000,12.62,42911,2016-05-24 00:00:20 UTC,
5/25/2016,1464134400,12.53,46443,2016-05-25 00:00:16 UTC,
5/26/2016,1464220800,12.37,51147,2016-05-26 00:00:01 UTC,
5/28/2016,1464393600,11.56,49006,2016-05-27 00:00:18 UTC,
5/27/2016,1464307200,11.11,70148,2016-05-28 00:00:12 UTC,
5/29/2016,1464480000,12.28,45890,2016-05-29 00:01:00 UTC,
5/30/2016,1464566400,12.48,42927,2016-05-30 00:00:25 UTC,
5/31/2016,1464652800,13.85,44386,2016-05-31 00:00:18 UTC,
6/1/2016,1464739200,13.83,42221,2016-06-01 00:00:27 UTC,
6/2/2016,1464825600,13.78,39666,2016-06-02 00:00:18 UTC,
6/3/2016,1464912000,13.78,39834,2016-06-03 00:00:11 UTC,
6/4/2016,1464998400,13.66,37875,2016-06-04 00:00:03 UTC,
6/5/2016,1465084800,13.85,37896,2016-06-05 00:00:47 UTC,
6/6/2016,1465171200,13.96,38957,2016-06-06 00:00:01 UTC,
6/7/2016,1465257600,14.41,46141,2016-06-07 00:00:46 UTC,
6/8/2016,1465344000,14.44,40433,2016-06-08 00:00:13 UTC,
6/9/2016,1465430400,14.49,39854,2016-06-09 00:00:05 UTC,
6/10/2016,1465516800,13.97,40145,2016-06-10 00:00:21 UTC,
6/11/2016,1465603200,14.01,36901,2016-06-11 00:00:26 UTC,
6/12/2016,1465689600,15.57,42581,2016-06-12 00:00:03 UTC,
6/13/2016,1465776000,17.55,46185,2016-06-13 00:00:44 UTC,
6/14/2016,1465862400,18.7,50335,2016-06-14 00:00:01 UTC,
6/15/2016,1465948800,18.3,43251,2016-06-15 00:00:10 UTC,
6/16/2016,1466035200,20.61,43392,2016-06-16 00:00:15 UTC,
6/17/2016,1466121600,15.49,66558,2016-06-17 00:00:11 UTC,
6/18/2016,1466208000,11.36,63083,2016-06-18 00:00:02 UTC,
6/19/2016,1466294400,12.33,51035,2016-06-19 00:00:31 UTC,
6/20/2016,1466380800,11.7,47118,2016-06-20 00:00:13 UTC,
6/21/2016,1466467200,12.71,47323,2016-06-21 00:00:19 UTC,
6/22/2016,1466553600,13.21,48617,2016-06-22 00:00:03 UTC,
6/24/2016,1466726400,14.25,41906,2016-06-23 00:00:25 UTC,
6/23/2016,1466640000,13.58,45331,2016-06-24 00:00:31 UTC,
6/25/2016,1466812800,14.28,36684,2016-06-25 00:00:44 UTC,
6/26/2016,1466899200,13.82,41613,2016-06-26 00:00:24 UTC,
6/27/2016,1466985600,14.04,39663,2016-06-27 00:00:18 UTC,
6/28/2016,1467072000,12.15,43089,2016-06-28 00:00:03 UTC,
6/29/2016,1467158400,12.76,49897,2016-06-29 00:00:02 UTC,
6/30/2016,1467244800,12.4,63952,2016-06-30 00:00:12 UTC,
7/1/2016,1467331200,12.23,40085,2016-07-01 00:00:19 UTC,
7/2/2016,1467417600,12.04,39257,2016-07-02 00:00:14 UTC,
7/3/2016,1467504000,11.85,39757,2016-07-03 00:00:37 UTC,
7/4/2016,1467590400,11.34,39950,2016-07-04 00:00:16 UTC,
7/5/2016,1467676800,10.45,39270,2016-07-05 00:00:10 UTC,
7/6/2016,1467763200,10.51,37900,2016-07-06 00:00:13 UTC,
7/7/2016,1467849600,10.07,40433,2016-07-07 00:00:32 UTC,
7/8/2016,1467936000,11.3,42506,2016-07-08 00:00:03 UTC,
7/9/2016,1468022400,10.92,40410,2016-07-09 00:00:37 UTC,
7/10/2016,1468108800,10.97,39358,2016-07-10 00:00:10 UTC,
7/11/2016,1468195200,10.58,38582,2016-07-11 00:00:17 UTC,
7/12/2016,1468281600,10.54,40811,2016-07-12 00:00:04 UTC,
7/13/2016,1468368000,10.44,35740,2016-07-13 00:00:16 UTC,
7/14/2016,1468454400,11.55,42809,2016-07-14 00:00:01 UTC,
7/15/2016,1468540800,11.88,41110,2016-07-15 00:00:03 UTC,
7/16/2016,1468627200,11.59,38062,2016-07-16 00:00:08 UTC,
7/17/2016,1468713600,11.19,33914,2016-07-17 00:00:13 UTC,
7/18/2016,1468800000,11.03,39198,2016-07-18 00:00:10 UTC,
7/19/2016,1468886400,11.63,44184,2016-07-19 00:00:15 UTC,
7/20/2016,1468972800,12.54,50631,2016-07-20 00:00:30 UTC,
7/21/2016,1469059200,12.66,44882,2016-07-21 00:00:35 UTC,
7/22/2016,1469145600,14.82,48458,2016-07-22 00:00:02 UTC,
7/23/2016,1469232000,14.4,45006,2016-07-23 00:00:05 UTC,
7/24/2016,1469318400,12.63,58215,2016-07-24 00:00:04 UTC,
7/25/2016,1469404800,13.84,54864,2016-07-25 00:00:03 UTC,
7/26/2016,1469491200,12.08,61922,2016-07-26 00:00:22 UTC,
7/27/2016,1469577600,13.05,53035,2016-07-27 00:00:03 UTC,
7/28/2016,1469664000,12.87,48555,2016-07-28 00:00:14 UTC,
7/29/2016,1469750400,12.87,47243,2016-07-29 00:00:12 UTC,
7/30/2016,1469836800,12.57,42023,2016-07-30 00:00:09 UTC,
7/31/2016,1469923200,11.86,48737,2016-07-31 00:01:18 UTC,
8/1/2016,1470009600,11.04,45978,2016-08-01 00:00:34 UTC,
8/2/2016,1470096000,8.3,49041,2016-08-02 00:00:07 UTC,
8/3/2016,1470182400,10.42,49475,2016-08-03 00:00:16 UTC,
8/4/2016,1470268800,11.21,46761,2016-08-04 00:00:05 UTC,
8/5/2016,1470355200,11.05,43212,2016-08-05 00:00:04 UTC,
8/6/2016,1470441600,10.95,41487,2016-08-06 00:00:04 UTC,
8/7/2016,1470528000,10.98,42955,2016-08-07 00:00:24 UTC,
8/8/2016,1470614400,11.29,42984,2016-08-08 00:00:10 UTC,
8/10/2016,1470787200,12.22,47062,2016-08-09 00:00:12 UTC,
