date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2013-03-02,,1145,121,140,,0.01145,1e-05,,,
2013-03-03,,821,80,128,,0.00821,1e-05,,,
2013-03-04,,1795,400,356,,0.01795,1e-05,,,
2013-03-05,,1682,123,157,,0.01682,1e-05,,,
2013-03-06,,2924,256,241,,0.02924,1e-05,,,
2013-03-07,,696,234,206,,0.00696,1e-05,,,
2013-03-08,,1214,135,148,,0.01214,1e-05,,,
2013-03-09,,1433,53,111,,0.01433,1e-05,,,
2013-03-10,,441,89,139,,0.00441,1e-05,,,
2013-03-11,,679,268,332,,0.00679,1e-05,,,
2013-03-12,,494,126,156,,0.00494,1e-05,,,
2013-03-13,,589,79,135,,0.00589,1e-05,,,
2013-03-14,,553,84,119,,0.00553,1e-05,,,
2013-03-15,,705,55,95,,0.00705,1e-05,,,
2013-03-16,,479,39,78,,0.00479,1e-05,,,
2013-03-17,,554,22,69,,0.00554,1e-05,,,
2013-03-18,,1335,125,156,,0.01335,1e-05,,,
2013-03-19,,1932,138,161,,0.01932,1e-05,,,
2013-03-20,,2074,99,120,,0.02074,1e-05,,,
2013-03-21,,2085,159,144,,0.02085,1e-05,,,
2013-03-22,,1505,56,84,,0.01505,1e-05,,,
2013-03-23,,3973,33,57,,0.03973,1e-05,,,
2013-03-24,,1985,76,62,,0.01985,1e-05,,,
2013-03-25,,821,247,177,,0.00821,1e-05,,,
2013-03-26,,552,159,151,,0.00552,1e-05,,,
2013-03-27,,1914,73,106,,0.01914,1e-05,,,
2013-03-28,,2394,169,138,,0.02394,1e-05,,,
2013-03-29,,2876,338,123,,0.02876,1e-05,,,
2013-03-30,,694,120,88,,0.00694,1e-05,,,
2013-03-31,,1081,497,91,,0.01081,1e-05,,,
2013-04-01,,1501,259,142,,0.01501,1e-05,,,
2013-04-02,,1491,179,143,,0.01491,1e-05,,,
2013-04-03,,1592,139,128,,0.01592,1e-05,,,
2013-04-04,,2204,97,136,,0.02204,1e-05,,,
2013-04-05,,730,123,172,,0.0073,1e-05,,,
2013-04-06,,651,159,96,,0.00651,1e-05,,,
2013-04-07,,1084,133,104,,0.01084,1e-05,,,
2013-04-08,,2103,207,163,,0.02112,1e-05,,,
2013-04-09,,1603,123,167,,0.01603,1e-05,,,
2013-04-10,,1397,128,130,,0.01397,1e-05,,,
2013-04-11,,1689,181,166,,0.01689,1e-05,,,
2013-04-12,,1612,445,334,,0.01612,1e-05,,,
2013-04-13,,1217,338,244,,0.01217,1e-05,,,
2013-04-14,,2364,358,239,,0.02364,1e-05,,,
2013-04-15,,3392,422,361,,0.03392,1e-05,,,
2013-04-16,,2071,601,401,,0.02071,1e-05,,,
2013-04-17,,2794,419,349,,0.02794,1e-05,,,
2013-04-18,,3112,543,472,,0.03112,1e-05,,,
2013-04-19,,2980,398,395,,0.0298,1e-05,,,
2013-04-20,,2755,464,242,,0.02755,1e-05,,,
2013-04-21,,3191,689,258,,0.03191,1e-05,,,
2013-04-22,,2546,451,382,,0.02546,1e-05,,,
2013-04-23,,3114,521,440,,0.03114,1e-05,,,
2013-04-24,,3361,965,427,,0.0336,1e-05,,,
2013-04-25,,2660,613,523,,0.0266,1e-05,,,
2013-04-26,,2891,953,454,,0.02891,1e-05,,,
2013-04-27,,3090,1301,402,,0.0309,1e-05,,,
2013-04-28,,2931,612,330,,0.02931,1e-05,,,
2013-04-29,,3532,1088,446,,0.03532,1e-05,,,
2013-04-30,,2302,500,425,,0.02302,1e-05,,,
2013-05-01,,2766,443,363,,0.02766,1e-05,,,
2013-05-02,,3274,518,428,,0.03274,1e-05,,,
2013-05-03,,3792,507,480,,0.03792,1e-05,,,
2013-05-04,,5698,676,549,,0.05698,1e-05,,,
2013-05-05,,7655,1158,957,,0.07655,1e-05,,,
2013-05-06,,7429,1981,810,,0.07429,1e-05,,,
2013-05-07,,3993,602,671,,0.03993,1e-05,,,
2013-05-08,,3600,621,647,,0.036,1e-05,,,
2013-05-09,,14405,10580,614,,0.14405,1e-05,,,
2013-05-10,,10999,6273,948,,0.10999,1e-05,,,
2013-05-11,,15245,8846,605,,0.15245,1e-05,,,
2013-05-12,,10332,7377,513,,0.10332,1e-05,,,
2013-05-13,,16841,8536,504,,0.16841,1e-05,,,
2013-05-14,,29948,6170,546,,0.29948,1e-05,,,
2013-05-15,,17967,6897,546,,0.17967,1e-05,,,
2013-05-16,,10925,3864,631,,0.10925,1e-05,,,
2013-05-17,,10878,2840,710,,0.10878,1e-05,,,
2013-05-18,,9138,2866,741,,0.09138,1e-05,,,
2013-05-19,,8956,2643,713,,0.08956,1e-05,,,
2013-05-20,,12536,2287,649,,0.12536,1e-05,,,
2013-05-21,,25752,2594,662,,0.25752,1e-05,,,
2013-05-22,,24104,2710,760,,0.24104,1e-05,,,
2013-05-23,,35749,2871,576,,0.35749,1e-05,,,
2013-05-24,,27130,2676,575,,0.2713,1e-05,,,
2013-05-25,,25157,2328,458,,0.25159,1e-05,,,
2013-05-26,,11741,2499,515,,0.11741,1e-05,,,
2013-05-27,,9960,2603,588,,0.0996,1e-05,,,
2013-05-28,,15281,2912,574,,0.15281,1e-05,,,
2013-05-29,,6486,2761,613,,0.06486,1e-05,,,
2013-05-30,,7548,2879,549,,0.07548,1e-05,,,
2013-05-31,,9334,2326,528,,0.09334,1e-05,,,
2013-06-01,,19062,10219,5576,,0.19062,1e-05,,,
2013-06-02,,15659,5295,2181,,0.15659,1e-05,,,
2013-06-03,,14199,5806,2349,,1.255087,1e-05,,,
2013-06-04,,15903,5571,1118,,0.15903,1e-05,,,
2013-06-05,,18909,9375,937,,0.18909,1e-05,,,
2013-06-06,,28907,18657,794,,0.28907,1e-05,,,
2013-06-07,,30615,21169,836,,0.30615,1e-05,,,
2013-06-08,,28741,21280,744,,0.28741,1e-05,,,
2013-06-09,,21943,13389,782,,0.21943,1e-05,,,
2013-06-10,,22119,16711,820,,0.22119,1e-05,,,
2013-06-11,,21251,11911,962,,0.21251,1e-05,,,
2013-06-12,,14952,5820,953,,0.149755,1e-05,,,
2013-06-13,,12679,3976,651,,0.127877,1e-05,,,
2013-06-14,,9673,4063,581,,0.097943,1e-05,,,
2013-06-15,,5708,2333,425,,0.057788,1e-05,,,
2013-06-16,,9111,1577,420,,0.091434,1e-05,,,
2013-06-17,,13403,4578,539,,0.135463,1e-05,,,
2013-06-18,,15705,5624,677,,0.158672,1e-05,,,
2013-06-19,,12683,4771,480,,0.128161,1e-05,,,
2013-06-20,,14741,5041,534,,0.148956,1e-05,,,
2013-06-21,,14806,3943,581,,0.149256,1e-05,,,
2013-06-22,,12195,4358,441,,0.123185,1e-05,,,
2013-06-23,,12014,3158,429,,0.120865,1e-05,,,
2013-06-24,,10443,3844,721,,0.105385,1e-05,,,
2013-06-25,,10627,3707,392,,0.107045,1e-05,,,
2013-06-26,,8805,3757,434,,0.088831,1e-05,,,
2013-06-27,,8809,3495,643,,0.088772,1e-05,,,
2013-06-28,,11370,5661,461,,0.114475,1e-05,,,
2013-06-29,,8867,7258,322,,0.089945,1e-05,,,
2013-06-30,,30654,4099,339,,0.307815,1e-05,,,
2013-07-01,,10147,3996,475,,0.102636,1e-05,,,
2013-07-02,,12448,4354,693,,0.125514,1e-05,,,
2013-07-03,,10853,6674,551,,0.109603,1e-05,,,
2013-07-04,,9779,4957,467,,0.099259,1e-05,,,
2013-07-05,,7705,3197,369,,0.077825,1e-05,,,
2013-07-06,,6439,2243,372,,0.064906,1e-05,,,
2013-07-07,,4737,1489,315,,0.047752,1e-05,,,
2013-07-08,,17542,12000,378,,0.17656,1e-05,,,
2013-07-09,,7482,2796,492,,0.075596,1e-05,,,
2013-07-10,,24337,6485,377,,0.244517,1e-05,,,
2013-07-11,,21131,2439,397,,0.212254,1e-05,,,
2013-07-12,,25202,3790,406,,0.253245,1e-05,,,
2013-07-13,,9877,3793,215,,0.100023,1e-05,,,
2013-07-14,,8914,2560,232,,0.089963,1e-05,,,
2013-07-15,,14710,3811,339,,0.148339,1e-05,,,
2013-07-16,,15866,4455,468,,0.160034,1e-05,,,
2013-07-17,,11851,3617,475,,0.119635,1e-05,,,
2013-07-18,,9863,3229,412,,0.099613,1e-05,,,
2013-07-19,,14059,2651,438,,0.141425,1e-05,,,
2013-07-20,,11204,2504,272,,0.112872,1e-05,,,
2013-07-21,,10295,2054,232,,0.103659,1e-05,,,
2013-07-22,,12397,2650,316,,0.124817,1e-05,,,
2013-07-23,,8086,1893,268,,0.081544,1e-05,,,
2013-07-24,,59431,1451,378,,15.911073,1e-05,,,
2013-07-25,,49871,2658,336,,0.52214,1e-05,,,
2013-07-26,,11021,3794,365,,11.061875,1e-05,,,
2013-07-27,,7421,3287,265,,0.087024,1e-05,,,
2013-07-28,,10952,2447,275,,28.081582,1e-05,,,
2013-07-29,,7153,3533,457,,94.57158,1.1e-05,,,
2013-07-30,,8010,3211,316,,0.106381,1e-05,,,
2013-07-31,,6799,2403,381,,725.503941,1e-05,,,
2013-08-01,,23476,3008,433,,0.257308,1e-05,,,
2013-08-02,,16855,3249,324,,0.185161,1e-05,,,
2013-08-03,,10028,2802,277,,0.11824,1e-05,,,
2013-08-04,67666.3300023,20638,2794,224,0.035244,0.220846,1e-05,45921035.5828,0.005874,0.0
2013-08-05,25977.8228526,23558,2938,356,0.03525,0.302046,1e-05,45927320.0383,0.005875,0.0
2013-08-06,59465581.1548,25261,2709,416,0.033822,0.296846,1e-05,44073400.0205,0.005637,0.0
2013-08-07,256828.296663,20914,3335,377,0.032683,0.234429,1e-05,36504371.9604,0.004669,0.0
2013-08-08,69543.4439154,37608,3477,433,0.026382,0.396204,1e-05,34376634.9093,0.004397,0.0
2013-08-09,35803.8222406,40677,2219,275,0.025542,0.422284,1e-05,33281687.3155,0.004257,0.0
2013-08-10,52366.7229529,46216,1839,208,0.025746,0.478224,1e-05,33545165.0392,0.004291,0.0
2013-08-11,5396.32411855,36327,1887,220,0.025884,0.382382,1e-05,33728820.9037,0.004314,0.0
2013-08-12,45163.1179702,30982,2207,290,0.026484,0.323274,1e-05,34504597.1522,0.004414,0.0
2013-08-13,26222.75052,30441,1419,348,0.031241,0.322433,1e-05,34894776.62,0.004463,0.0
2013-08-14,752303.482869,35258,1788,532,0.029869,0.484531,1e-05,33362634.4113,0.004267,0.0
2013-08-15,226574.730443,33241,1859,381,0.026516,0.364207,1e-05,29613879.5692,0.003788,0.0
2013-08-16,21261.2492036,31787,1571,394,0.021574,0.417621,1e-05,24091045.9949,0.003082,0.0
2013-08-17,12102.5722588,35052,1913,255,0.021966,1.15234,1e-05,24532581.3222,0.003138,0.0
2013-08-18,32079.2920518,36661,1839,249,0.039809,0.383972,1e-05,44463822.1558,0.005687,0.0
2013-08-19,97086.4599894,29447,1235,279,0.039109,50.092198,1e-05,43681955.2513,0.005587,0.0
2013-08-20,16837.0333293,26050,1520,314,0.037632,17.125663,1e-05,42029320.2703,0.005376,0.0
2013-08-21,4338.25108525,27546,1727,266,0.042686,4.960183,1e-05,47670770.365,0.006098,0.0
2013-08-22,8566.33350316,29084,1925,244,0.042917,0.459594,1e-05,47928872.5565,0.006131,0.0
2013-08-23,1771.11011107,32926,3082,212,0.031074,0.364587,1e-05,40485620.6402,0.005179,0.0
2013-08-24,3694.71799155,32586,2773,199,0.035973,0.368722,1e-05,40176063.5631,0.005139,0.0
2013-08-25,897.376021713,33954,2619,191,0.033156,0.599538,1e-05,43200880.1628,0.005526,0.0
2013-08-26,1561.14418173,36821,2490,240,0.036624,0.390316,1e-05,47719804.0193,0.006104,0.0
2013-08-27,502448.164173,42038,3686,289,0.038808,0.514836,1e-05,50566425.013,0.006468,0.0
2013-08-28,52308.8572948,37585,2802,230,0.038706,0.402687,1e-05,50432964.7062,0.006451,0.0
2013-08-29,67675.4021769,34007,2475,209,0.037476,0.442441,1e-05,48827150.7048,0.006246,0.0
2013-08-30,57400.5603375,34973,2494,253,0.03456,0.3887,1e-05,45033627.5211,0.00576,0.0
2013-08-31,7243.32745028,31576,2256,209,0.041391,32.551136,1e-05,46225376.1994,0.005913,0.0
2013-09-01,23504.8416855,28534,1828,178,0.039361,0.327089,1e-05,43957715.5364,0.005623,0.0
2013-09-02,6168.8829178,25235,1810,191,0.040593,0.460475,1e-05,45334794.4645,0.005799,0.0
2013-09-03,161211.67322,30857,2679,190,0.038626,0.388509,1e-05,43137822.3824,0.005518,0.0
2013-09-04,19152.7724148,29027,2283,221,0.03396,1.075107,1e-05,44249178.3389,0.00566,0.0
2013-09-05,43080.7672672,29132,2623,241,0.034176,0.377345,1e-05,44528752.5907,0.005696,0.0
2013-09-06,116066.16389,38295,4395,206,0.040019,0.413087,1e-05,44691523.7869,0.005717,0.0
2013-09-07,91116.1613805,44516,7380,190,0.05853,0.495639,1e-05,45757886.4324,0.005853,0.0
2013-09-08,14619.1187361,46528,9705,178,0.098752,0.525241,1e-05,48252327.6565,0.006172,0.0
2013-09-09,16763.6355521,45753,8373,201,0.074316,0.507497,1e-05,48416268.5281,0.006193,0.0
2013-09-10,31417.9205692,46545,7891,240,0.056502,0.515236,1e-05,49079191.3509,0.006278,0.0
2013-09-11,87416.6963733,48930,9401,206,0.11614,0.5474,1e-05,45400150.7647,0.005807,0.0
2013-09-12,1637377.64627,45741,8945,240,0.100592,0.511572,1e-05,49148209.077,0.006287,0.0
2013-09-13,24058.2401993,46857,12197,272,0.06334,77.059535,1e-05,49519350.0973,0.006334,0.0
2013-09-14,9363.81318096,40459,7797,299,0.07818,0.453206,1e-05,50932266.1751,0.006515,0.0
2013-09-15,24230.4919811,45769,8499,203,0.6349,0.50917,1e-05,49634018.7214,0.006349,0.0
2013-09-16,88264.1220031,52883,8920,369,0.3248,0.596075,1e-05,50786163.4603,0.006496,0.0
2013-09-17,51163.2965025,53394,7663,465,0.07086,0.59853,1e-05,55397163.4372,0.007086,0.0
2013-09-18,98328.7410166,51903,8459,413,0.38468,0.589234,1e-05,75183948.8594,0.009617,0.0
2013-09-19,123680.379389,48792,2844,344,0.43096,0.519638,1e-05,84228407.5289,0.010774,0.0
2013-09-20,183026.948375,40424,1591,363,0.10962,0.426187,1e-05,85700555.0442,0.010962,0.0
2013-09-21,496087.418766,21292,2860,330,0.5053,0.246983,1e-05,79009793.6136,0.010106,0.0
2013-09-22,9724.02475607,47009,4183,269,0.14601,0.504416,1e-05,76100070.571,0.009734,0.0
2013-09-23,12227.2217559,44947,3060,293,0.155925,0.476115,1e-05,81264528.6691,0.010395,0.0
2013-09-24,20253.8930186,41778,3245,305,0.10016,0.445324,1e-05,78306982.2971,0.010016,0.0
2013-09-25,21557.4151256,42907,3449,352,0.156885,0.458483,1e-05,81766525.1853,0.010459,0.0
2013-09-26,85668.4385201,41594,1825,446,0.10432,0.441511,1e-05,81559011.2046,0.010432,0.0
2013-09-27,137892.169759,47172,3534,394,0.2353,0.504608,1e-05,91977473.6369,0.011765,0.0
2013-09-28,402860.934536,39834,3846,521,0.089796,0.426351,1e-05,117004230.188,0.014966,0.0
2013-09-29,53253.1616735,50418,7515,366,0.41541,0.559776,1e-05,108252637.129,0.013847,0.0
2013-09-30,101635.222463,50535,8038,380,0.3855,0.567541,1e-05,100462641.186,0.01285,0.0
2013-10-01,697054.108645,42925,5090,334,0.294462,0.467432,1e-05,85259476.4646,0.010906,0.0
2013-10-02,368392.578234,39237,1294,388,0.57849,0.412791,1e-05,82231388.2574,0.010518,0.0
2013-10-03,27944655.5681,46535,2673,332,0.38895,0.492565,1e-05,60813295.4842,0.007779,0.0
2013-10-04,334591.423402,45259,3993,330,0.4461,0.484138,1e-05,69752201.4221,0.008922,0.0
2013-10-05,4428.05661686,30816,1123,308,0.077408,0.320602,1e-05,75645821.7285,0.009676,0.0
2013-10-06,168147.112222,45888,2416,263,0.113688,0.480728,1e-05,74067215.7977,0.009474,0.0
2013-10-07,113408.402919,49081,4970,386,0.48345,0.5308,1e-05,75587658.6429,0.009669,0.0
2013-10-08,60242.1129378,47718,4859,344,0.138375,0.51674,1e-05,72117667.8579,0.009225,0.0
2013-10-09,59057.6645225,47917,3947,354,0.141585,0.521551,1e-05,73794054.1359,0.009439,0.0
2013-10-10,293408.562401,37355,2929,533,0.4831,0.433151,1e-05,75533923.0019,0.009662,0.0
2013-10-11,151979.352024,48564,3986,486,0.4942,0.545946,1e-05,77272712.012,0.009884,0.0
2013-10-12,32880.7998511,42918,4225,470,0.4456,0.505274,1e-05,69673405.2117,0.008912,0.0
2013-10-13,36254.4440649,44558,1326,381,0.09382,0.47423,1e-05,73344564.6027,0.009382,0.0
2013-10-14,283404.870245,47523,3569,395,0.25455,0.528452,1e-05,66335264.2196,0.008485,0.0
2013-10-15,164877.950636,43212,2108,361,0.17008,0.465559,1e-05,66483417.4806,0.008504,0.0
2013-10-16,59410.0239602,37978,2230,657,0.16136,0.428249,1e-05,63072575.7207,0.008068,0.0
2013-10-17,80963.1417004,42282,1273,394,0.21894,0.450455,1e-05,57054480.7487,0.007298,0.0
2013-10-18,21156.4459,47180,2275,449,0.2004,0.521878,1e-05,65283242.7915,0.00835,0.0
2013-10-19,69053.420511,47861,1615,682,0.397,0.581283,1e-05,62073359.8097,0.00794,0.0
2013-10-20,33883.1352744,46739,1476,358,0.2888,0.502612,1e-05,56442215.2985,0.00722,0.0
2013-10-21,49498.8743124,46882,2332,618,0.13414,0.546938,1e-05,52436721.1854,0.006707,0.0
2013-10-22,22617.4901843,47132,2089,508,0.1995,0.529394,1e-05,51991852.8707,0.00665,0.0
2013-10-23,50906.5616392,38249,2456,564,0.109264,0.455233,1e-05,53389182.7176,0.006829,0.0
2013-10-24,101855.318471,47395,3726,1229,7.020528,1.02552,1e-05,61807446.0477,0.007906,0.0
2013-10-25,298585.907592,33205,7801,3272,7.61016,1.623803,1e-05,67001170.7187,0.00857,0.0
2013-10-26,36281.9821682,41059,2017,1156,5.6826,0.522288,1e-05,53853265.7375,0.006888,0.0
2013-10-27,32273.8949509,46946,1500,778,2.3858,0.605087,1e-05,47222883.7007,0.00604,0.0
2013-10-28,198641.529063,43452,2738,1080,4.1004,0.688859,1e-05,53427368.9636,0.006834,0.0
2013-10-29,219503.638666,50655,4489,849,0.11884,0.650477,1e-05,46454598.5985,0.005942,0.0
2013-10-30,292653.309157,48234,3245,869,0.252588,0.626359,1e-05,47019278.5958,0.006014,0.0
2013-10-31,546634.345551,44953,3679,749,0.35118,0.577484,1e-05,45757053.9025,0.005853,0.0
2013-11-01,32770.407869,41792,2903,733,0.3645,0.503775,1e-05,47497418.5778,0.006075,0.0
2013-11-02,100037.798455,30225,3717,817,0.38076,0.406212,1e-05,49615387.0282,0.006346,0.0
2013-11-03,165141.359464,38230,2726,856,0.115719,0.49707,1e-05,53218233.5635,0.006807,0.0
2013-11-04,172557.469799,46470,3252,1134,0.42882,0.664523,1e-05,55875175.6615,0.007147,0.0
2013-11-05,58409.7756674,24624,3345,1096,0.273546,0.456146,1e-05,54835906.1933,0.007014,0.0
2013-11-06,161344.967525,44168,5181,873,0.085644,0.632583,1e-05,55793839.8484,0.007137,0.0
2013-11-07,170610.461287,46904,2987,1103,0.23253,0.959399,1e-05,60595514.4336,0.007751,0.0
2013-11-08,772367.312653,40787,2281,1179,0.53898,0.669975,1e-05,70224828.7087,0.008983,0.0
2013-11-09,354588.351099,33818,2803,912,0.138827,0.557081,1e-05,83482710.4073,0.010679,0.0
2013-11-10,39253.414458,35488,4918,782,0.08859,0.433035,1e-05,69261903.2478,0.008859,0.0
2013-11-11,66028.3838638,37484,2284,911,0.09549045,0.446371,1e-05,67193679.3186,0.008595,0.0
2013-11-12,273949.578862,18785,2153,870,0.104364,0.33599,1e-05,67990479.6601,0.008697,0.0
2013-11-13,303477.016363,46574,2605,1069,0.153248,0.727485,1e-05,74879058.13,0.009578,0.0
2013-11-14,109859.228311,21943,1883,1156,0.99544,0.369796,1e-05,84592023.0437,0.01082,0.0
2013-11-15,1470091.68289,41233,1429,777,0.173304,0.496939,1e-05,75268544.7038,0.009628,0.0
2013-11-16,104042.482797,43387,2134,815,9.669,0.678628,1e-05,75588194.179,0.009669,0.0
2013-11-17,204955.275254,50108,5966,1264,10.157,1.530536,1e-05,79404750.6965,0.010157,0.0
2013-11-18,232798.967722,47221,7121,1474,10.301,1.757352,1e-05,80529132.6977,0.010301,0.0
2013-11-19,37866953.27,37682,2877,1671,10.050696,0.722439,1e-05,82888365.6374,0.010602,0.0
2013-11-20,279333.140047,45518,2572,1531,0.7134,1.865809,1e-05,55770585.2808,0.007134,0.0
2013-11-21,490403.259437,50097,2493,1301,2.2533,0.994822,1e-05,58721707.1412,0.007511,0.0
2013-11-22,698614.336575,49603,3343,1489,9.958,0.867292,1e-05,77853750.9927,0.009958,0.0
2013-11-23,240698.578306,50055,1984,1321,1.43325,0.641136,1e-05,74696200.7976,0.009555,0.0
2013-11-24,639025.280474,41761,1752,1345,0.2394385,0.454209,1e-05,76403581.8639,0.009773,0.0
2013-11-25,1396921.46999,69566,3830,2612,1.1742,0.830909,1e-05,91797661.7231,0.011742,0.0
2013-11-26,3311992.84538,44568,4025,2628,0.69793458,0.641531,1.2e-05,147432229.835,0.018858,0.0
2013-11-27,1198772.91321,54434,3478,2516,0.59982,0.66318,1e-05,234464386.837,0.029991,0.0
2013-11-28,787328.591858,47228,2396,2620,2.7879,0.557765,1e-05,217957205.283,0.027879,0.0
2013-11-29,2114937.50626,45150,3052,3051,3.204408,10.016848,1e-05,228784941.464,0.029264,0.0
2013-11-30,2163866.4361,36696,3475,3175,3.0927501,0.640791,1.2e-05,241574053.116,0.0309,0.0
2013-12-01,2905709.8652,60782,3280,3641,3.916,6.79394,1e-05,306151537.05,0.03916,0.0
2013-12-02,1314245.32341,58653,2429,3227,5.2384,2.32186,1e-05,409533080.474,0.052384,0.0
2013-12-03,1921058.01372,42883,3982,3702,2.5213825,1.133988,1e-05,433225692.998,0.055415,0.0
2013-12-04,7795926.41602,53536,7515,4348,1.407979,2.303972,1e-05,379567013.619,0.048551,0.0
2013-12-05,1285623.43944,69090,5463,5028,3.114916,31.40241,1e-05,459472185.864,0.058772,0.0
2013-12-06,2336327.88907,51227,5941,5186,1.705279,1.597766,1e-05,430059393.729,0.055009,0.0
2013-12-07,540841.002994,55371,9438,5824,0.84416,2.518717,1.2e-05,329982482.266,0.042208,0.0
2013-12-08,419929.013009,51801,2025,2235,1.408508,0.759848,1e-05,256079285.529,0.032756,0.0
2013-12-09,509888.177795,58872,10414,5384,0.909025,2.271097,1e-05,284267750.955,0.036361,0.0
2013-12-10,442144.095783,66119,10763,5884,0.7778,2.470619,1e-05,304035650.546,0.03889,0.0
2013-12-11,5902954.5779,64168,6474,5266,1.489812,1.673645,1e-05,342567906.609,0.043818,0.0
2013-12-12,6149774.96206,45963,6601,5289,2.134776,1.512647,1e-05,298028357.445,0.038121,0.0
2013-12-13,915340.037575,35691,5986,5349,1.316662,1.464545,1e-05,270882834.623,0.034649,0.0
2013-12-14,618235.765055,38490,6957,5523,1.523533,1.546253,1e-05,276991317.278,0.035431,0.0
2013-12-15,889808.931438,55018,6806,5676,1.537872,3.921138,1e-05,250476511.303,0.032039,0.0
2013-12-16,597464.658389,61279,6866,5847,0.993208,1.80286,1e-05,228371960.269,0.029212,0.0
2013-12-17,441630.669022,53163,7377,6608,0.748965,1.81128,1.2e-05,167296850.326,0.021399,0.0
2013-12-18,3433945.05918,62579,7822,6409,0.646956,2.519401,1e-05,140499729.003,0.017971,0.0
2013-12-19,123980673.266,47612,7704,6729,0.615537,1.889717,1e-05,123390339.841,0.015783,0.0
2013-12-20,630532.597474,57151,6971,6402,0.84564,2.32329,1e-05,165278008.039,0.021141,0.0
2013-12-21,551108.905864,43221,7867,6142,0.650349,1.910024,1.2e-05,164009997.522,0.020979,0.0
2013-12-22,153435.471219,43127,7033,6386,1.07855,1.662054,1e-05,168639700.978,0.021571,0.0
2013-12-23,309365.579267,44351,8892,6130,0.496133,1.710096,1e-05,168641123.314,0.021571,0.0
2013-12-24,527040.795014,53746,8422,6165,0.591930907159,1.86877,1e-05,185266710.432,0.023698,0.0
2013-12-25,263972.316219,32231,6863,6149,0.782216655912,1.624858,1e-05,176673285.6,0.022599,0.0
